Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,What is your current occupation,Lead Quality,Asymmetrique Activity Score,Asymmetrique Profile Score,Last Notable Activity,Converted,Prob_Score
API,Olark Chat,No,No,5,1387,1.67,Unemployed,High in Relevance,14,17,Email Opened,1,89.63946555
API,Referral Sites,No,No,3,1641,3,Unemployed,Not Sure,14,13,Modified,0,52.93404505
API,Google,No,No,2,226,2,Unknown,Unkown,13,15,Modified,0,5.935111715
Landing Page Submission,Google,No,No,1,598,1,Unemployed,Not Sure,15,17,Modified,1,8.255205634
API,Google,No,No,3,1292,3,Unemployed,Might be,14,15,Modified,1,82.54558033
Landing Page Submission,Google,No,No,9,888,9,Student,Might be,15,18,Email Opened,1,75.87050653
Landing Page Submission,Google,No,No,3,242,3,Unknown,Unkown,14,18,Email Opened,0,8.120178061
Landing Page Submission,Google,No,No,4,332,4,Unemployed,Unkown,14,15,Email Opened,0,13.9322397
Landing Page Submission,Direct Traffic,No,No,3,1350,1.5,Unknown,Unkown,12,18,Email Opened,1,30.97068915
Landing Page Submission,Google,No,No,6,192,6,Unknown,Unkown,14,15,Modified,0,2.495885805
Landing Page Submission,Google,No,No,5,409,5,Unknown,Unkown,14,15,Email Opened,0,9.584771065
API,Organic Search,No,No,1,37,1,Unemployed,Not Sure,14,15,Modified,0,5.392016758
API,Olark Chat,No,No,7,628,3.5,Student,Low in Relevance,14,18,Email Opened,1,88.67613123
Landing Page Submission,Direct Traffic,Yes,No,1,68,1,Unknown,Unkown,15,18,Modified,0,1.058444785
Landing Page Submission,Google,No,No,7,385,7,Unknown,Unkown,14,14,Email Opened,0,8.056781175
API,Olark Chat,No,No,0,0,0,Unemployed,Low in Relevance,15,16,Modified,0,46.16871968
API,Organic Search,No,No,5,1291,5,Unemployed,Not Sure,15,15,Modified,1,30.53691391
Landing Page Submission,Google,No,No,3,239,3,Unknown,Unkown,14,18,Email Opened,0,8.079359
API,Organic Search,No,No,3,726,3,Unemployed,Unkown,13,15,Modified,0,19.44522139
API,Organic Search,No,No,13,99,13,Unemployed,Not Sure,18,15,Modified,0,3.130646269
Landing Page Submission,Google,No,No,6,1092,3,Unemployed,Unkown,15,18,Page Visited on Website,1,41.39652571
Landing Page Submission,Organic Search,No,No,2,414,2,Unknown,Unkown,13,14,Modified,0,4.848777717
API,Google,No,No,3,1152,3,Unemployed,Low in Relevance,14,16,Email Opened,1,91.92416699
API,Google,No,No,2,156,2,Unemployed,Unkown,14,15,Modified,0,8.7943104
Landing Page Submission,Google,No,No,7,305,2.33,Unemployed,Not Sure,14,18,Email Opened,0,10.98525289
Lead Import,Facebook,No,No,3,844,2,Unemployed,Might be,14,15,Modified,1,72.10984638
Lead Import,Facebook,No,No,0,0,0,Unemployed,Not Sure,13,12,Email Opened,0,13.63952184
Lead Import,Facebook,No,No,3,11,2,Unemployed,Not Sure,13,15,Modified,0,5.000285412
Lead Import,Facebook,No,No,0,0,0,Unemployed,Not Sure,14,14,Email Opened,0,14.16458634
Lead Import,Facebook,No,No,3,131,2,Unemployed,Not Sure,13,15,Modified,0,6.151242616
Lead Import,Facebook,No,No,3,129,2,Unemployed,Might be,13,14,Modified,0,39.83134278
Lead Import,Facebook,No,No,3,19,2,Unemployed,Might be,13,14,Modified,0,35.12459681
Lead Import,Facebook,No,No,3,1517,2,Unemployed,Not Sure,13,13,Modified,0,45.80058889
Lead Import,Facebook,No,No,3,32,2,Unemployed,Might be,13,15,Modified,0,35.40245326
Lead Import,Facebook,No,No,0,0,0,Unemployed,Might be,14,15,Email Opened,0,62.04172696
Lead Import,Facebook,No,No,0,0,0,Unemployed,Not Sure,14,13,Modified,0,6.091746859
Lead Import,Facebook,No,No,3,1608,2,Unemployed,Might be,14,15,Modified,1,91.26504908
Lead Import,Facebook,No,No,3,103,2,Unemployed,Might be,13,15,Modified,0,38.42342723
Lead Import,Facebook,No,No,3,1012,2,Unemployed,Low in Relevance,14,13,Modified,1,81.46823954
Lead Import,Facebook,No,No,0,0,0,Unemployed,High in Relevance,14,15,Modified,0,21.82031889
Lead Import,Facebook,No,No,0,0,0,Unemployed,High in Relevance,14,16,Email Opened,1,41.52092378
Lead Import,Facebook,No,No,3,345,2,Unemployed,Unkown,13,13,Modified,0,12.99477572
Lead Import,Facebook,No,No,0,0,0,Unemployed,Unkown,13,15,Email Opened,0,18.67790983
Lead Import,Facebook,No,No,3,97,2,Unemployed,Unkown,13,15,Modified,0,8.487172263
Lead Add Form,Reference,No,No,1,288,1,Unemployed,High in Relevance,14,20,Modified,1,84.11404503
Landing Page Submission,Organic Search,No,No,6,81,6,Unemployed,Unkown,14,14,Email Opened,0,8.283872446
API,Referral Sites,No,No,3,12,3,Unknown,Unkown,10,13,Modified,0,3.901152265
Lead Add Form,Welingak Website,No,No,0,0,0,Unemployed,High in Relevance,15,14,Modified,1,73.4589956
API,Google,No,No,3,301,3,Unknown,Unkown,14,15,Email Opened,0,15.54165116
API,Direct Traffic,No,No,5,4,1.67,Unemployed,Not Sure,11,15,Page Visited on Website,0,6.351573478
API,Referral Sites,No,No,4,1523,4,Unemployed,Might be,15,13,Email Opened,1,95.8499875
API,Google,No,No,3,7,3,Unemployed,Low in Relevance,14,18,Modified,1,34.76619484
Landing Page Submission,Google,No,No,4,321,4,Unknown,Unkown,14,18,Email Opened,0,8.621149733
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,16,15,Modified,1,6.563398607
API,Google,No,No,2,293,2,Unemployed,Unkown,14,15,Modified,0,11.0210822
API,Google,No,No,4,1313,4,Unemployed,Unkown,13,15,Email Opened,0,62.15106292
Landing Page Submission,Direct Traffic,No,No,2,1368,2,Unemployed,Might be,14,18,Email Opened,1,84.25599158
Landing Page Submission,Google,No,No,3,94,1.5,Unemployed,High in Relevance,14,20,Email Opened,1,26.61596847
Landing Page Submission,Google,No,No,5,616,5,Unknown,Unkown,14,18,Email Opened,0,13.00366706
API,Google,No,Yes,9,1482,3,Unemployed,Not Sure,15,16,Modified,1,44.40211548
API,Google,No,No,3,52,3,Unemployed,Might be,14,16,Modified,0,32.64172399
Landing Page Submission,Google,No,No,7,6,7,Unknown,Unkown,13,18,Email Opened,0,3.765702161
API,Olark Chat,No,No,0,0,0,Working Professional,Might be,16,15,Email Opened,1,91.17406745
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,14,19,Email Link Clicked,1,89.87379944
Landing Page Submission,Organic Search,No,No,3,145,3,Unknown,Unkown,13,14,SMS Sent,0,24.59870816
API,Olark Chat,Yes,No,0,0,0,Unknown,Unkown,15,15,Modified,0,3.285668783
API,Organic Search,Yes,No,2,18,2,Unemployed,Unkown,13,15,Modified,0,3.571610199
API,Referral Sites,No,No,3,116,3,Unknown,Unkown,14,13,Email Opened,0,14.17903309
Landing Page Submission,Direct Traffic,No,No,5,221,5,Unemployed,Unkown,13,16,Email Opened,0,6.942009047
Landing Page Submission,Direct Traffic,No,No,4,327,4,Unknown,Unkown,13,17,Email Opened,0,5.628584993
Landing Page Submission,Google,No,No,4,1027,4,Unknown,Unkown,14,17,Email Opened,0,25.75571638
Lead Add Form,Reference,No,No,3,1743,2,Unemployed,Might be,14,17,Modified,1,99.4080209
Landing Page Submission,Direct Traffic,No,No,4,105,2,Unknown,Unkown,13,16,Email Link Clicked,0,4.698228493
Landing Page Submission,Direct Traffic,No,No,4,437,4,Unknown,Unkown,14,18,Modified,0,2.908163414
Landing Page Submission,Direct Traffic,No,No,2,25,2,Unemployed,Not Sure,13,15,Email Opened,0,4.251905241
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,15,Email Opened,0,20.43038243
API,Google,No,No,1,101,1,Unknown,Unkown,14,15,Modified,0,5.491635589
API,Olark Chat,No,No,3,978,3,Unknown,Unkown,16,15,Modified,1,24.87488188
API,Referral Sites,No,No,6,208,6,Unknown,Unkown,14,13,Email Opened,0,13.35945146
Lead Add Form,Reference,Yes,No,3,1952,2,Unemployed,High in Relevance,14,19,Modified,1,98.20279794
Landing Page Submission,Organic Search,No,No,5,497,5,Unknown,Unkown,14,16,Modified,0,4.66030692
API,Organic Search,No,No,3,118,1.5,Unknown,Unkown,14,15,Modified,0,5.715610809
API,Referral Sites,No,No,6,356,3,Unemployed,Unkown,14,13,Email Opened,0,30.59780465
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,15,Modified,1,9.071820326
Landing Page Submission,Google,No,No,7,472,1.75,Unemployed,Might be,14,20,Modified,1,40.2797999
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,15,15,Email Opened,0,14.46070476
API,Organic Search,No,No,7,47,7,Unknown,Unkown,13,15,Email Opened,0,7.457390822
Landing Page Submission,Google,No,No,3,312,3,Unemployed,Might be,14,18,Email Opened,1,52.05263286
Landing Page Submission,Google,No,No,12,333,6,Unknown,Unkown,15,18,Modified,0,3.698402958
Landing Page Submission,Direct Traffic,No,No,3,1458,3,Unknown,Unkown,14,16,Modified,0,17.65945146
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,15,19,Email Opened,1,90.40715215
API,Referral Sites,No,No,2,25,1,Unemployed,Low in Relevance,14,13,Email Opened,1,68.81417385
API,Google,No,No,2,49,2,Unknown,Unkown,14,15,Modified,0,4.65489393
API,Referral Sites,No,No,4,213,4,Unknown,Unkown,14,13,Modified,0,6.614012516
Landing Page Submission,Direct Traffic,No,No,2,210,2,Unemployed,Unkown,14,18,Email Opened,0,8.829324513
API,Google,No,No,3,253,3,Unknown,Unkown,14,15,Email Opened,0,14.42445773
Landing Page Submission,Google,No,No,4,353,4,Unknown,Unkown,14,13,Email Opened,0,9.583820911
Lead Add Form,Reference,No,No,3,417,2,Unemployed,High in Relevance,15,19,Modified,1,87.22931056
Landing Page Submission,Google,No,No,12,1452,3,Unknown,Unkown,15,18,Email Opened,0,50.65412718
API,Olark Chat,No,No,0,0,0,Unemployed,Low in Relevance,15,15,Email Opened,1,69.06856583
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,15,Email Opened,0,13.65087514
Landing Page Submission,Direct Traffic,No,No,2,1499,2,Unemployed,Low in Relevance,14,18,Email Opened,1,89.25824536
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,15,20,Email Opened,1,90.30615451
Landing Page Submission,Google,No,No,21,1885,3.5,Unemployed,High in Relevance,16,20,Email Opened,1,92.71662376
API,Organic Search,No,No,3,144,3,Unknown,Unkown,13,15,Modified,0,4.879220084
API,Organic Search,Yes,No,4,489,2,Unknown,Unkown,17,15,Modified,0,6.830261605
Landing Page Submission,Google,No,No,2,190,2,Unknown,Unkown,13,18,Email Opened,0,7.521825287
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Low in Relevance,14,20,Email Opened,1,96.03573718
API,Olark Chat,No,No,0,0,0,Unemployed,Might be,13,15,Email Opened,0,61.50709024
Landing Page Submission,Direct Traffic,No,No,11,1208,3.67,Unknown,Unkown,14,18,Email Opened,0,27.16727462
API,Google,No,No,9,208,4.5,Unknown,Unkown,15,15,Modified,0,5.881013418
API,Google,No,No,1,491,1,Unemployed,Might be,16,15,Modified,1,59.4320713
API,Olark Chat,No,No,3,463,2,Unemployed,Might be,13,15,Modified,0,55.74561159
Landing Page Submission,Direct Traffic,No,No,2,1284,2,Unknown,Unkown,13,16,Email Opened,1,28.89799134
Landing Page Submission,Direct Traffic,No,No,4,18,4,Unknown,Unkown,13,17,Email Opened,0,3.27928404
Landing Page Submission,Google,No,No,4,363,4,Unemployed,Might be,15,18,Email Opened,1,54.07489367
Landing Page Submission,Direct Traffic,No,No,4,1588,4,Unemployed,Low in Relevance,16,17,Email Opened,1,90.61610391
Landing Page Submission,Direct Traffic,Yes,No,6,357,2,Unknown,Unkown,13,17,Modified,0,1.576688581
Landing Page Submission,Google,No,No,3,211,3,Unknown,Unkown,14,18,Email Opened,0,7.707319451
Landing Page Submission,Google,No,No,5,1328,2.5,Unemployed,High in Relevance,15,20,Page Visited on Website,1,76.19944597
API,Olark Chat,No,No,3,177,2,Unknown,Unkown,17,15,Modified,0,8.286457841
API,Referral Sites,No,No,3,193,1.5,Unknown,Unkown,13,13,Email Opened,0,17.08966887
API,Google,No,No,2,1607,2,Unknown,Unkown,12,15,Modified,0,42.41359306
Landing Page Submission,Referral Sites,No,No,6,1505,6,Unknown,Unkown,16,15,Page Visited on Website,1,48.40921154
API,Referral Sites,Yes,No,4,839,4,Unknown,Unkown,14,13,Unsubscribed,0,24.35785354
Landing Page Submission,Google,No,No,4,284,4,Unknown,Unkown,14,18,Email Opened,0,8.103044478
API,Google,No,No,8,978,2,Unemployed,Might be,15,16,Email Opened,1,89.80065955
API,Referral Sites,No,No,9,367,3,Unknown,Unkown,14,13,Email Opened,0,22.68747168
Landing Page Submission,Google,No,No,3,1191,3,Unemployed,Unkown,14,18,Email Opened,0,44.85669247
API,Google,No,No,2,188,2,Unemployed,Low in Relevance,15,15,Modified,1,47.06379676
Landing Page Submission,Google,No,No,2,1595,2,Unemployed,Not Sure,13,17,Modified,0,31.02554432
Landing Page Submission,Direct Traffic,No,No,2,70,2,Unknown,Unkown,14,16,Email Opened,0,4.511548498
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,15,15,Email Opened,0,21.54206518
API,Google,No,No,4,811,1.33,Working Professional,Low in Relevance,14,18,Email Link Clicked,1,97.44532829
API,Referral Sites,No,No,9,81,4.5,Unemployed,Might be,14,13,Email Opened,0,61.86884024
Landing Page Submission,Organic Search,No,No,6,634,6,Unknown,Unkown,14,18,SMS Sent,0,39.10721067
Landing Page Submission,Direct Traffic,No,No,2,190,2,Unknown,Unkown,13,18,Email Opened,0,5.101599004
Landing Page Submission,Direct Traffic,No,No,2,364,2,Unknown,Unkown,13,18,SMS Sent,0,24.54370517
API,Referral Sites,No,No,10,198,3.33,Unknown,Unkown,14,13,Email Opened,0,17.53553926
API,Google,No,No,3,265,3,Unknown,Unkown,14,15,Modified,0,6.274789505
Landing Page Submission,Direct Traffic,No,No,2,813,2,Unemployed,Low in Relevance,14,19,Email Opened,1,70.09575981
Landing Page Submission,Google,No,No,5,299,5,Unknown,Unkown,13,18,Modified,0,2.952861592
Landing Page Submission,Organic Search,Yes,No,5,115,5,Unknown,Unkown,14,13,SMS Sent,0,12.85515989
API,Google,No,No,5,51,2.5,Unemployed,Might be,14,15,Email Opened,0,57.89197139
API,Referral Sites,No,No,7,1,7,Unemployed,Unkown,13,13,Email Opened,0,12.9086615
API,Google,No,No,2,32,2,Unknown,Unkown,13,15,Modified,0,4.238252072
Landing Page Submission,Referral Sites,Yes,No,4,124,4,Unknown,Unkown,13,14,Modified,0,1.568846329
Landing Page Submission,Google,No,No,3,66,3,Unemployed,Unkown,14,16,Modified,0,3.973563904
API,Google,No,No,3,213,1.5,Unemployed,Low in Relevance,13,15,Modified,0,46.56676716
API,Google,No,No,1,1203,1,Unemployed,Low in Relevance,15,18,Modified,1,85.59481331
Landing Page Submission,Google,No,No,4,92,4,Unemployed,Might be,13,17,Modified,0,19.78464463
API,Organic Search,No,No,3,306,3,Unemployed,Might be,14,15,Email Opened,0,67.23047986
API,Google,No,No,1,151,1,Unemployed,Unkown,14,15,Modified,0,9.371622222
API,Google,No,No,5,818,2.5,Unemployed,Low in Relevance,15,18,Modified,1,73.26042005
Landing Page Submission,Google,No,No,4,32,4,Unknown,Unkown,14,18,Email Opened,0,5.269703028
Landing Page Submission,Organic Search,No,No,5,1016,2.5,Unemployed,Might be,15,16,Email Opened,1,82.76198532
Landing Page Submission,Google,No,No,2,169,2,Unknown,Unkown,13,17,Modified,0,2.985056134
API,Organic Search,No,No,2,8,2,Unemployed,Not Sure,13,15,Modified,0,4.461874638
Landing Page Submission,Direct Traffic,No,No,4,1252,2,Working Professional,Might be,15,18,Page Visited on Website,1,95.89540561
Landing Page Submission,Direct Traffic,Yes,No,2,122,2,Unemployed,Unkown,15,17,Unsubscribed,0,4.778726462
Landing Page Submission,Organic Search,No,No,4,1505,4,Unknown,Unkown,14,13,SMS Sent,0,79.66349069
Landing Page Submission,Google,No,No,2,33,2,Unknown,Unkown,13,18,Email Opened,0,5.753286122
Landing Page Submission,Organic Search,No,No,3,1746,3,Unemployed,Not Sure,16,13,Modified,1,41.76179257
Landing Page Submission,Google,No,No,5,346,2.5,Unemployed,Unkown,14,18,Modified,0,6.858662305
Landing Page Submission,Direct Traffic,Yes,No,4,1,4,Unknown,Unkown,13,16,Unsubscribed,0,1.836361069
API,Google,No,No,2,1208,2,Unemployed,Low in Relevance,14,16,Modified,1,84.1340147
Landing Page Submission,Google,No,No,5,425,5,Unknown,Unkown,13,17,SMS Sent,0,30.51001029
API,Google,No,No,5,1313,2.5,Unemployed,Low in Relevance,14,18,Page Visited on Website,1,93.73721188
Landing Page Submission,Direct Traffic,No,No,1,27,1,Working Professional,Unkown,14,18,Modified,0,13.35251859
Landing Page Submission,Google,No,No,4,632,4,Unknown,Unkown,14,18,Email Opened,0,14.27888331
API,Google,No,No,3,506,1.5,Unknown,Unkown,14,15,Email Opened,0,23.67654135
Landing Page Submission,Direct Traffic,No,No,2,340,2,Unemployed,Might be,14,17,Email Opened,1,45.26189983
API,Google,No,No,4,1596,4,Unemployed,Unkown,15,15,Email Opened,0,75.90302312
API,Referral Sites,No,No,7,103,3.5,Unknown,Unkown,15,13,Modified,0,6.449087563
Landing Page Submission,Organic Search,No,No,8,248,8,Unemployed,Might be,15,17,Modified,1,21.84137207
Landing Page Submission,Google,No,No,4,328,4,Unknown,Unkown,14,18,SMS Sent,0,29.61079471
API,Google,No,No,2,1450,2,Unknown,Unkown,13,15,Modified,0,37.15099725
Lead Add Form,Welingak Website,No,No,0,0,0,Unemployed,High in Relevance,15,18,Email Opened,1,87.17990136
API,Referral Sites,No,No,4,945,2,Unknown,Unkown,13,13,Modified,1,23.50724781
Lead Add Form,Reference,No,No,3,1764,3,Unemployed,High in Relevance,14,20,Email Opened,1,99.42447506
Landing Page Submission,Google,No,No,3,139,3,Unknown,Unkown,14,17,Email Opened,0,6.895764384
API,Referral Sites,No,No,3,403,3,Unemployed,Not Sure,14,13,Modified,0,10.47573189
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,15,15,Modified,0,6.163964919
Landing Page Submission,Google,No,No,1,583,1,Unemployed,Unkown,14,13,Modified,0,11.43539475
API,Organic Search,No,No,3,1392,3,Unknown,Unkown,15,15,Email Opened,0,59.6393008
Landing Page Submission,Direct Traffic,No,No,2,1613,2,Unknown,Unkown,13,18,SMS Sent,0,76.13243459
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,11,20,Modified,0,73.46237995
Landing Page Submission,Google,No,No,5,285,5,Unemployed,Might be,14,18,Page Visited on Website,1,44.75943536
Landing Page Submission,Referral Sites,No,No,13,263,2.6,Unemployed,Unkown,16,17,Email Opened,0,21.11927686
API,Google,No,No,5,1662,2.5,Unemployed,Not Sure,13,15,Email Opened,0,70.91876542
API,Referral Sites,No,No,3,303,3,Unemployed,Might be,13,13,SMS Sent,0,91.1870592
API,Olark Chat,No,No,0,0,0,Unemployed,Low in Relevance,16,14,Email Opened,1,70.72307122
Landing Page Submission,Google,No,No,5,444,5,Unemployed,Might be,14,18,Email Opened,1,54.12295445
Landing Page Submission,Direct Traffic,No,No,2,11,2,Unknown,Unkown,13,15,Email Opened,0,3.85801177
Landing Page Submission,Google,No,No,6,1623,6,Student,Low in Relevance,14,18,Email Opened,0,94.58230814
API,Google,No,No,4,213,4,Unemployed,Might be,14,15,Email Opened,0,61.00842653
Landing Page Submission,Google,No,No,2,7,2,Unknown,Unkown,13,16,Modified,0,2.26258657
API,Organic Search,No,No,7,9,7,Unknown,Unkown,15,15,Email Opened,0,7.915996343
API,Google,No,No,9,102,3,Unemployed,Unkown,14,16,Email Opened,0,18.73318525
API,Referral Sites,No,No,4,1203,2,Unemployed,Might be,13,13,Modified,0,84.18475632
Landing Page Submission,Google,No,No,3,1160,3,Unemployed,Might be,15,18,Modified,1,68.00453937
Landing Page Submission,Google,No,No,10,59,3.33,Student,Low in Relevance,14,19,Email Opened,0,58.1528837
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,16,15,Modified,0,6.563398607
API,Google,No,No,1,87,1,Unemployed,Unkown,14,15,Modified,0,8.424134397
API,Google,No,No,4,49,4,Working Professional,Low in Relevance,16,18,Modified,1,76.27313286
API,Google,No,No,1,94,1,Unemployed,Unkown,14,15,Modified,0,8.523370182
API,Google,No,No,4,225,2,Unemployed,Unkown,9,16,Email Opened,0,17.13754674
API,Organic Search,No,No,19,415,4.75,Unknown,Unkown,18,15,Page Visited on Website,0,24.17710968
Landing Page Submission,Google,No,No,4,1120,4,Unemployed,High in Relevance,15,18,Modified,1,44.51203699
Landing Page Submission,Google,No,No,3,334,3,Unknown,Unkown,13,18,Modified,0,3.660410186
Landing Page Submission,Google,No,No,4,342,4,Unknown,Unkown,13,13,SMS Sent,0,29.95569303
API,Google,No,No,7,49,7,Unemployed,Unkown,14,15,Email Opened,0,12.08225799
Landing Page Submission,Direct Traffic,No,No,4,34,2,Unemployed,Might be,13,16,Email Opened,0,31.72702135
API,Organic Search,No,No,3,271,1.5,Unemployed,Unkown,15,15,Modified,0,12.22380365
API,Olark Chat,Yes,No,0,0,0,Unknown,Unkown,15,15,Modified,0,3.285668783
Landing Page Submission,Organic Search,No,No,14,1747,1.27,Unemployed,Unkown,15,18,Email Opened,0,78.2614682
Landing Page Submission,Google,No,No,3,779,3,Unknown,Unkown,14,18,Email Opened,1,19.08425329
Landing Page Submission,Direct Traffic,No,No,2,980,2,Unknown,Unkown,13,18,Email Opened,1,18.55469783
Landing Page Submission,Organic Search,No,No,3,121,3,Unknown,Unkown,14,17,Modified,0,2.767645187
Landing Page Submission,Google,No,No,6,14,3,Unemployed,Not Sure,14,15,Email Link Clicked,0,6.491654707
Landing Page Submission,Organic Search,No,No,5,1254,5,Unemployed,Low in Relevance,14,17,Email Opened,1,86.76022547
API,Referral Sites,No,No,13,24,6.5,Unknown,Unkown,12,13,Modified,0,3.918379161
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,15,15,Modified,1,6.163964919
Landing Page Submission,Google,No,No,4,2,4,Unknown,Unkown,14,18,Email Opened,0,5.002575093
API,Google,No,No,3,981,3,Working Professional,Low in Relevance,14,15,Email Opened,1,97.80403226
API,Google,No,No,3,717,1.5,Working Professional,Low in Relevance,15,18,Modified,1,92.74584246
Landing Page Submission,Google,No,No,2,1058,2,Unemployed,Unkown,12,18,Modified,0,19.00170735
Landing Page Submission,Direct Traffic,No,No,4,977,4,Unknown,Unkown,14,17,Email Opened,0,17.30464615
Landing Page Submission,Google,No,No,8,1335,8,Unemployed,Might be,15,18,Email Opened,1,83.5318274
Landing Page Submission,Google,No,No,8,1148,4,Working Professional,Low in Relevance,16,20,Modified,1,93.33747779
Landing Page Submission,Google,No,No,4,243,4,Unknown,Unkown,14,18,Email Opened,0,7.562212018
API,Google,No,No,8,501,2.67,Unemployed,Unkown,14,15,Email Opened,0,32.8861802
Landing Page Submission,Direct Traffic,No,No,2,72,2,Unknown,Unkown,12,14,Email Opened,0,4.071330656
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
Landing Page Submission,Organic Search,No,No,10,869,5,Unknown,Unkown,13,18,Email Opened,0,19.98940583
Landing Page Submission,Google,No,No,9,1342,3,Unemployed,Not Sure,14,18,Email Link Clicked,1,44.59559117
API,Google,No,No,2,369,2,Unknown,Unkown,14,15,Email Opened,0,18.40167904
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,17,15,Email Opened,0,23.89496208
Landing Page Submission,Google,No,No,4,168,4,Unknown,Unkown,14,14,Email Opened,0,6.95190831
Landing Page Submission,Direct Traffic,No,No,4,1298,4,Unemployed,High in Relevance,15,20,Email Opened,1,64.86195842
Landing Page Submission,Google,No,No,2,426,2,Unknown,Unkown,13,17,SMS Sent,0,35.79924911
Landing Page Submission,Google,No,No,6,294,6,Unknown,Unkown,16,18,Page Visited on Website,1,7.452074943
Lead Add Form,Welingak Website,No,No,0,0,0,Unemployed,High in Relevance,14,16,Email Opened,1,86.68151647
API,Referral Sites,No,No,5,255,5,Unemployed,Unkown,11,14,Modified,0,8.48954982
API,Google,No,No,2,1300,2,Unemployed,Unkown,14,15,Modified,1,43.83428863
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,15,SMS Sent,1,53.0584302
API,Google,No,No,4,54,4,Unknown,Unkown,15,15,Modified,0,4.304412407
Lead Add Form,Reference,No,No,0,0,0,Working Professional,High in Relevance,15,19,Modified,1,95.08861479
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,14,17,Email Opened,1,90.01986515
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Low in Relevance,14,13,Modified,0,98.18092931
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Might be,14,19,Email Opened,1,95.25041224
API,Google,No,No,1,300,1,Unemployed,Unkown,14,15,Modified,0,11.95473659
API,Google,No,No,13,9,3.25,Unemployed,Unkown,15,15,Modified,0,7.932425305
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,16,15,Email Opened,1,22.69698352
Landing Page Submission,Organic Search,No,No,5,115,5,Unemployed,Not Sure,14,18,Modified,0,2.498745062
Landing Page Submission,Google,No,No,6,779,3,Unknown,Unkown,13,18,Email Opened,0,18.94215701
API,Google,No,No,3,1007,1.5,Unemployed,Unkown,15,15,Olark Chat Conversation,1,54.03418915
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
Lead Add Form,Reference,No,No,16,1570,5.33,Working Professional,Might be,17,17,Page Visited on Website,1,99.94229533
Landing Page Submission,Google,No,No,11,2069,5.5,Working Professional,Might be,16,18,Email Opened,1,99.33168498
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,15,15,Modified,0,9.640328329
API,Google,No,No,9,176,1.8,Unknown,Unkown,14,15,Email Opened,0,15.60975493
Lead Add Form,Welingak Website,No,No,0,0,0,Unemployed,Unkown,15,15,Email Link Clicked,1,70.79855345
API,Google,No,No,3,97,3,Unknown,Unkown,10,15,Modified,0,3.629407592
API,Google,No,No,6,442,6,Working Professional,Low in Relevance,15,15,Modified,1,84.49666663
Landing Page Submission,Google,No,No,3,271,3,Unknown,Unkown,14,18,Email Opened,0,8.524551983
API,Google,No,No,1,258,1,Unknown,Unkown,14,15,Modified,0,7.185876783
Landing Page Submission,Google,No,No,4,1277,4,Unknown,Unkown,14,18,Email Opened,0,35.1302384
API,Referral Sites,No,No,2,480,1,Unemployed,Not Sure,14,13,Email Opened,0,29.27644673
Landing Page Submission,Google,No,No,6,605,2,Working Professional,Might be,14,15,Email Opened,1,92.22923302
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,16,15,Modified,0,6.563398607
API,Olark Chat,No,No,5,968,1.25,Unemployed,Unkown,13,14,Email Opened,1,58.12198683
Landing Page Submission,Google,No,No,4,1452,4,Unemployed,Unkown,15,17,Modified,0,33.73574115
API,Olark Chat,No,No,0,0,0,Working Professional,Might be,15,15,Modified,1,78.96362625
Landing Page Submission,Google,No,No,3,1198,3,Unknown,Unkown,13,18,Modified,0,15.56450272
API,Google,No,No,2,1334,2,Working Professional,Low in Relevance,15,17,Modified,1,97.38968081
Lead Add Form,Google,Yes,No,3,1378,2,Unemployed,Unkown,14,16,Modified,1,67.1824575
API,Organic Search,No,No,10,65,5,Unemployed,Not Sure,14,15,Email Opened,0,11.02432063
API,Organic Search,No,No,2,454,2,Working Professional,Might be,14,15,Modified,1,85.6703503
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,14,19,Email Opened,1,89.80965193
